Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/public/v1/users/35,2,0,999.041999981273,998.449900012929,997.857800044585,999.041999981273,137.0,0.027075048265973692,0.0,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
GET,/public/v1/users/36,1,0,1035.0746999611147,1035.0746999611147,1035.0746999611147,1035.0746999611147,144.0,0.013537524132986846,0.0,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
GET,/public/v1/users/37,1,0,964.5696999505162,964.5696999505162,964.5696999505162,964.5696999505162,133.0,0.013537524132986846,0.0,960,960,960,960,960,960,960,960,960,960,960
GET,/public/v1/users/4,5,5,400.0,483.3375000045635,229.11000001477078,797.6485000108369,53.0,0.06768762066493422,0.06768762066493422,400,700,700,800,800,800,800,800,800,800,800
GET,/public/v1/users/5,5,5,600.0,662.9461799864657,231.8659999873489,998.9739999873564,53.0,0.06768762066493422,0.06768762066493422,600,930,930,1000,1000,1000,1000,1000,1000,1000,1000
GET,/public/v1/users/6,5,0,710.0,727.1559599903412,290.6385000096634,1077.895800000988,128.0,0.06768762066493422,0.0,710,1000,1000,1100,1100,1100,1100,1100,1100,1100,1100
GET,/public/v1/users/7,5,5,890.0,812.6123600057326,391.3661999977194,1000.0730000319891,53.0,0.06768762066493422,0.06768762066493422,890,990,990,1000,1000,1000,1000,1000,1000,1000,1000
GET,/public/v1/users/8,5,5,1000.0,920.7562199910171,499.8434000299312,1109.1207999852486,53.0,0.06768762066493422,0.06768762066493422,1000,1000,1000,1100,1100,1100,1100,1100,1100,1100,1100
GET,/public/v1/users/9,5,0,1000.0,960.3226200095378,704.2709000525065,1082.7788999886252,130.0,0.06768762066493422,0.0,1000,1000,1000,1100,1100,1100,1100,1100,1100,1100,1100
,Aggregated,692,612,1000.0,890.3944916175134,172.37699998077005,1473.6238000332378,93.33092485549133,9.367966700026896,8.28496476938795,1000,1000,1000,1000,1000,1000,1100,1200,1500,1500,1500
